scenario,selection_rule,constraint_value,threshold,true_positive,false_positive,true_negative,false_negative,sensitivity,specificity,ppv,npv,f1,balanced_accuracy,alert_rate,alerts_per_100,true_positives_per_100,false_positives_per_100,number_needed_to_evaluate,model_net_benefit,treat_all_net_benefit,treat_none_net_benefit
high_sensitivity,highest_threshold_with_sensitivity_at_least_0.80,0.8,0.065,756.0,6160.0,3394.0,186.0,0.802547770700637,0.3552438769101946,0.1093117408906882,0.9480446927374302,0.1924153728684143,0.5788958238054158,0.6589176829268293,65.89176829268293,7.202743902439025,58.6890243902439,9.148148148148149,0.0312275824964131,0.0264689578713969,0.0
moderate_capacity,lowest_threshold_with_alerts_per_100_at_most_20,20.0,0.105,336.0,1613.0,7941.0,606.0,0.3566878980891719,0.8311701904961273,0.172396100564392,0.9290979290979292,0.2324455205811138,0.5939290442926496,0.1856897865853658,18.568978658536587,3.201219512195122,15.367759146341465,5.800595238095238,0.0139829804809919,-0.0170408093745741,0.0
limited_capacity,lowest_threshold_with_alerts_per_100_at_most_10,10.0,0.13,221.0,822.0,8732.0,721.0,0.2346072186836518,0.913962738120159,0.211888782358581,0.923727917063366,0.2226700251889168,0.5742849784019054,0.0993711890243902,9.937118902439025,2.105564024390244,7.831554878048781,4.719457013574661,0.00935331686291,-0.0462661199887861,0.0
