rank,transformed_feature,mean_abs_shap,mean_signed_shap,transformer,source_feature
139,categorical__admission_type_id_8,1.1072276936803617e-05,-3.7775431372440534e-06,categorical,admission_type_id
140,lab__max_glu_serum_Norm,1.0986836282555493e-05,-2.060856069861546e-07,lab,max_glu_serum
141,categorical__age_[10-20),9.194893048974511e-06,-4.674264270126012e-06,categorical,age
142,categorical__admission_source_id_6,6.123883515104051e-06,4.146610923809096e-06,categorical,admission_source_id
143,diagnosis__diag_1_Missing,0.0,0.0,diagnosis,diag_1
144,diagnosis__diag_2_Missing,0.0,0.0,diagnosis,diag_2
145,diagnosis__diag_3_Musculoskeletal,0.0,0.0,diagnosis,diag_3
146,diagnosis__diag_3_Missing,0.0,0.0,diagnosis,diag_3
147,categorical__race_Asian,0.0,0.0,categorical,race
148,categorical__race_Missing,0.0,0.0,categorical,race
149,categorical__gender_Unknown/Invalid,0.0,0.0,categorical,gender
150,categorical__age_[0-10),0.0,0.0,categorical,age
151,categorical__admission_type_id_4,0.0,0.0,categorical,admission_type_id
152,categorical__admission_type_id_7,0.0,0.0,categorical,admission_type_id
153,categorical__discharge_disposition_id_10,0.0,0.0,categorical,discharge_disposition_id
154,categorical__discharge_disposition_id_12,0.0,0.0,categorical,discharge_disposition_id
155,categorical__discharge_disposition_id_16,0.0,0.0,categorical,discharge_disposition_id
156,categorical__discharge_disposition_id_17,0.0,0.0,categorical,discharge_disposition_id
157,categorical__discharge_disposition_id_24,0.0,0.0,categorical,discharge_disposition_id
158,categorical__discharge_disposition_id_27,0.0,0.0,categorical,discharge_disposition_id
159,categorical__discharge_disposition_id_4,0.0,0.0,categorical,discharge_disposition_id
160,categorical__discharge_disposition_id_8,0.0,0.0,categorical,discharge_disposition_id
161,categorical__discharge_disposition_id_9,0.0,0.0,categorical,discharge_disposition_id
162,categorical__admission_source_id_10,0.0,0.0,categorical,admission_source_id
163,categorical__admission_source_id_11,0.0,0.0,categorical,admission_source_id
164,categorical__admission_source_id_13,0.0,0.0,categorical,admission_source_id
165,categorical__admission_source_id_14,0.0,0.0,categorical,admission_source_id
166,categorical__admission_source_id_2,0.0,0.0,categorical,admission_source_id
167,categorical__admission_source_id_22,0.0,0.0,categorical,admission_source_id
168,categorical__admission_source_id_25,0.0,0.0,categorical,admission_source_id
169,categorical__admission_source_id_8,0.0,0.0,categorical,admission_source_id
170,categorical__admission_source_id_9,0.0,0.0,categorical,admission_source_id
171,categorical__payer_code_CH,0.0,0.0,categorical,payer_code
172,categorical__payer_code_DM,0.0,0.0,categorical,payer_code
173,categorical__payer_code_FR,0.0,0.0,categorical,payer_code
174,categorical__payer_code_MP,0.0,0.0,categorical,payer_code
175,categorical__payer_code_OT,0.0,0.0,categorical,payer_code
176,categorical__payer_code_PO,0.0,0.0,categorical,payer_code
177,categorical__payer_code_SI,0.0,0.0,categorical,payer_code
178,categorical__payer_code_WC,0.0,0.0,categorical,payer_code
179,categorical__repaglinide_Down,0.0,0.0,categorical,repaglinide
180,categorical__nateglinide_Down,0.0,0.0,categorical,nateglinide
181,categorical__nateglinide_Steady,0.0,0.0,categorical,nateglinide
182,categorical__nateglinide_Up,0.0,0.0,categorical,nateglinide
183,categorical__chlorpropamide_Down,0.0,0.0,categorical,chlorpropamide
184,categorical__chlorpropamide_No,0.0,0.0,categorical,chlorpropamide
185,categorical__chlorpropamide_Steady,0.0,0.0,categorical,chlorpropamide
186,categorical__chlorpropamide_Up,0.0,0.0,categorical,chlorpropamide
187,categorical__glimepiride_Down,0.0,0.0,categorical,glimepiride
188,categorical__glimepiride_Up,0.0,0.0,categorical,glimepiride
189,categorical__acetohexamide_No,0.0,0.0,categorical,acetohexamide
190,categorical__acetohexamide_Steady,0.0,0.0,categorical,acetohexamide
191,categorical__glipizide_Up,0.0,0.0,categorical,glipizide
192,categorical__glyburide_Down,0.0,0.0,categorical,glyburide
193,categorical__tolbutamide_No,0.0,0.0,categorical,tolbutamide
194,categorical__tolbutamide_Steady,0.0,0.0,categorical,tolbutamide
195,categorical__pioglitazone_Down,0.0,0.0,categorical,pioglitazone
196,categorical__pioglitazone_Up,0.0,0.0,categorical,pioglitazone
197,categorical__rosiglitazone_Down,0.0,0.0,categorical,rosiglitazone
198,categorical__rosiglitazone_Up,0.0,0.0,categorical,rosiglitazone
199,categorical__acarbose_No,0.0,0.0,categorical,acarbose
200,categorical__acarbose_Steady,0.0,0.0,categorical,acarbose
201,categorical__acarbose_Up,0.0,0.0,categorical,acarbose
202,categorical__miglitol_No,0.0,0.0,categorical,miglitol
203,categorical__miglitol_Steady,0.0,0.0,categorical,miglitol
204,categorical__miglitol_Up,0.0,0.0,categorical,miglitol
205,categorical__troglitazone_No,0.0,0.0,categorical,troglitazone
206,categorical__troglitazone_Steady,0.0,0.0,categorical,troglitazone
207,categorical__tolazamide_No,0.0,0.0,categorical,tolazamide
208,categorical__tolazamide_Steady,0.0,0.0,categorical,tolazamide
209,categorical__glyburide-metformin_Down,0.0,0.0,categorical,glyburide-metformin
210,categorical__glyburide-metformin_No,0.0,0.0,categorical,glyburide-metformin
211,categorical__glyburide-metformin_Steady,0.0,0.0,categorical,glyburide-metformin
212,categorical__glyburide-metformin_Up,0.0,0.0,categorical,glyburide-metformin
213,categorical__glipizide-metformin_No,0.0,0.0,categorical,glipizide-metformin
214,categorical__glipizide-metformin_Steady,0.0,0.0,categorical,glipizide-metformin
215,categorical__metformin-rosiglitazone_No,0.0,0.0,categorical,metformin-rosiglitazone
216,categorical__metformin-rosiglitazone_Steady,0.0,0.0,categorical,metformin-rosiglitazone
217,specialty__medical_specialty_Endocrinology,0.0,0.0,specialty,medical_specialty
218,specialty__medical_specialty_Neurology,0.0,0.0,specialty,medical_specialty
219,specialty__medical_specialty_Otolaryngology,0.0,0.0,specialty,medical_specialty
220,specialty__medical_specialty_Pediatrics,0.0,0.0,specialty,medical_specialty
221,specialty__medical_specialty_Pediatrics-CriticalCare,0.0,0.0,specialty,medical_specialty
222,specialty__medical_specialty_Surgery-Cardiovascular,0.0,0.0,specialty,medical_specialty
223,specialty__medical_specialty_Surgery-Thoracic,0.0,0.0,specialty,medical_specialty
224,specialty__medical_specialty_Urology,0.0,0.0,specialty,medical_specialty
225,specialty__medical_specialty_infrequent_sklearn,0.0,0.0,specialty,medical_specialty
