scenario,threshold,metric,estimate,ci_lower,ci_upper,bootstrap_standard_error
high_sensitivity,0.065,sensitivity,0.802547770700637,0.7770700636942676,0.8280254777070064,0.01305409680605867
high_sensitivity,0.065,specificity,0.35524387691019466,0.345719070546368,0.36476868327402134,0.004916148464779676
high_sensitivity,0.065,ppv,0.10931174089068826,0.10579125632056971,0.11276019225575201,0.0017657801248491943
high_sensitivity,0.065,npv,0.9480446927374302,0.9414736030641412,0.9545071725944613,0.0033425365028372524
high_sensitivity,0.065,f1,0.19241537286841434,0.18619978645410312,0.1984383377805175,0.003079996521500229
high_sensitivity,0.065,alerts_per_100,65.89176829268293,64.97689596036587,66.796875,0.45983694555305216
high_sensitivity,0.065,number_needed_to_evaluate,9.148148148148149,8.868377926969053,9.45257703502961,0.14803226700869132
high_sensitivity,0.065,model_net_benefit,0.031227582496413192,0.028813574002217297,0.03354748842441632,0.0012194064454343644
moderate_capacity,0.105,sensitivity,0.35668789808917195,0.3248407643312102,0.386411889596603,0.01566972897124521
moderate_capacity,0.105,specificity,0.8311701904961273,0.8237387481683065,0.8387063010257484,0.0037163951090342013
moderate_capacity,0.105,ppv,0.172396100564392,0.15858793413587935,0.18594918968525545,0.007063507079128479
moderate_capacity,0.105,npv,0.9290979290979291,0.9259384133430751,0.9322500821523559,0.0016354600236111764
moderate_capacity,0.105,f1,0.23244552058111384,0.21402010293394857,0.25093277524568336,0.009516583485725674
moderate_capacity,0.105,alerts_per_100,18.568978658536587,17.825600228658537,19.283536585365855,0.3643384434916808
moderate_capacity,0.105,number_needed_to_evaluate,5.800595238095238,5.377813168912113,6.305649956620183,0.2388699061589725
moderate_capacity,0.105,model_net_benefit,0.013982980480991964,0.01115726980855703,0.016841225494788118,0.0014671590138458947
limited_capacity,0.13,sensitivity,0.2346072186836518,0.2070063694267516,0.26008492569002123,0.013865052709317129
limited_capacity,0.13,specificity,0.913962738120159,0.9084153234247435,0.919300816411974,0.002818597452385257
limited_capacity,0.13,ppv,0.21188878235858102,0.19011937052853162,0.2332069328366104,0.01125558683319393
limited_capacity,0.13,npv,0.9237279170633661,0.9211722737418165,0.9261260820433457,0.0012914148502588716
limited_capacity,0.13,f1,0.22267002518891688,0.1982884427477127,0.24502378350985357,0.012059311092396972
limited_capacity,0.13,alerts_per_100,9.937118902439025,9.36547256097561,10.480182926829269,0.28664566373210565
limited_capacity,0.13,number_needed_to_evaluate,4.719457013574661,4.288037193311455,5.259853326147213,0.25401110072028427
limited_capacity,0.13,model_net_benefit,0.00935331686291001,0.0067885467041631595,0.011776818098191756,0.0012971600730502437
