metric,estimate,ci_lower,ci_upper,bootstrap_standard_error,ci_excludes_zero
roc_auc,0.021527091613216753,0.007980555864070102,0.035774008343653095,0.007190154335665549,True
average_precision,0.05212994641623864,0.029050073383780947,0.07814120809295881,0.012429720977212767,True
brier_score,0.01942799955372637,0.01629741809938417,0.02256518897690088,0.0016012500569827727,True
sensitivity,0.17660683265778815,0.15287479528102882,0.20162305268692543,0.012504152861247952,True
specificity,-0.1190501326001876,-0.12646478324505514,-0.1117499832245385,0.0037272445298049267,True
ppv,0.023561346244118625,0.00864127123953948,0.03885292562470897,0.007665375657284386,True
alerts_per_100,13.072330079850378,12.289372904755773,13.925623918471736,0.4105689050440316,True
