development_rank,model,roc_auc,average_precision,brier_score,log_loss,precision_at_0_5,recall_at_0_5,f1_at_0_5
1,xgboost_tuned,0.6508197675788134,0.17163851047457246,0.0805526077747345,0.2959751486778259,0.5454545454545454,0.006369426751592357,0.012591815320041973
2,xgboost_early_stopping,0.6457808047851368,0.16431400857625394,0.07963087409734726,0.2903517782688141,0.4583333333333333,0.01167728237791932,0.022774327122153208
3,logistic_regression,0.6428755399523637,0.15968689435949956,0.07980917082618648,0.2909613164635314,0.07692307692307693,0.0010615711252653928,0.0020942408376963353
4,xgboost_baseline,0.6363313328595488,0.15300201146463,0.08128367364406586,0.2964622974395752,0.3442622950819672,0.022292993630573247,0.04187437686939183
5,xgboost_weighted,0.6208729950261493,0.1506141598412746,0.18864014744758606,0.5590071082115173,0.14027476500361533,0.4118895966029724,0.209277238403452
