dataset,encounters,unique_patients,positives,prevalence,mean_predicted_probability,mean_probability_minus_prevalence,roc_auc,average_precision,brier_score,log_loss,calibration_intercept,calibration_slope,quantile_ece,sensitivity,specificity,ppv,npv,f1,balanced_accuracy,alerts_per_100,number_needed_to_evaluate,model_net_benefit
primary_validation,10496,10496,942,0.0897484756097561,0.09000934280013292,0.0002608671903768234,0.6508197675788134,0.17163851047457246,0.07941848459238085,0.2897418697314984,-0.11823240366057175,0.9484025976798671,0.008876456927102433,0.35668789808917195,0.8311701904961273,0.172396100564392,0.9290979290979291,0.23244552058111384,0.5939290442926496,18.568978658536587,5.800595238095238,0.013982980480991964
all_eligible_encounters_for_validation_patients,14854,10496,1727,0.11626497913020062,0.11187146479868948,-0.004393514331511139,0.6723468591920302,0.2237684568908111,0.09884648414610722,0.34148031989377203,-0.2761140309873414,0.8349425472089977,0.01716986061394279,0.5332947307469601,0.7121200578959397,0.19595744680851063,0.9206224148118968,0.28660339194025203,0.6227073943214498,31.641308738386964,5.10314875135722,0.03215656599467593
subsequent_eligible_encounters_only,4358,2453,785,0.18012849931161082,0.16452516661072478,-0.015603332700886041,0.6164596112742241,0.2724639135187562,0.14563773777527472,0.4660894921983212,-0.5413129752755867,0.5758685613140851,0.04013393774792648,0.7452229299363057,0.39378673383711166,0.21264994547437296,0.8755444928438083,0.33088235294117646,0.5695048318867086,63.125286828820556,4.702564102564103,0.07592663335392948
